directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4514450,1,7,39,3,6,1,0,2,1,1,0,1,48,1,79,20,3,3586.12426757812,0,0,0,1521,8.18482730710011
4514451,1,3,19,4,5,2,1,2,1,2,0,1,70,1,58,5,5,1000,0,0,0,361,6.90775527898214
4514452,1,1,59,1,6,2,1,4,1,1,0,1,48,1,3,72,2,35826.390625,0,0,0,3481,10.4864400691098
4514452,1,2,53,2,6,2,0,4,1,1,0,1,48,1,51,72,2,3990.2431640625,0,0,0,2809,8.291607451401
4514453,1,2,51,3,6,1,0,4,1,1,0,1,60,1,21,9,5,38888.890625,0,0,0,2601,10.5684639007722
4514453,1,3,50,3,6,2,1,4,2,1,1,0,60,1,45,10,1,,0,0,0,2500,
4514454,1,3,31,3,6,2,1,4,1,1,0,1,48,1,2,60,2,12152.77734375,0,0,0,961,9.40531301060941
4514454,1,2,56,2,6,2,0,4,2,1,0,0,30,1,51,360,3,,0,0,0,3136,
4514454,1,1,58,1,6,2,1,4,2,1,0,0,40,1,42,360,3,,0,0,0,3364,
4514454,1,4,28,3,6,2,0,4,1,1,0,1,36,1,39,1,5,9657.4072265625,0,0,0,784,9.17548048813266
4514455,1,1,55,1,5,2,1,3,2,1,1,0,48,1,81,120,1,,0,0,0,3025,
4514455,1,2,50,2,5,1,0,3,2,1,1,0,40,1,41,4,1,,0,0,0,2500,
4514456,1,3,26,3,6,2,1,3,1,1,0,1,48,1,2,24,4,6319.4443359375,0,0,0,676,8.7513865617467
4514456,1,2,46,2,4,2,0,3,2,3,1,0,40,1,55,48,1,,0,0,0,2116,
4514456,1,1,58,1,3,2,1,3,2,3,1,0,48,1,93,480,1,,0,0,0,3364,
4514457,1,2,57,3,6,2,0,2,1,2,0,1,40,1,13,240,5,9041.6669921875,0,0,0,3249,9.10959883817695
4514458,1,1,49,1,6,2,0,3,1,1,0,1,60,1,77,1,2,2333.33325195312,0,0,0,2401,7.75505310449211
4514459,1,1,58,1,6,2,0,2,1,1,0,1,48,1,39,120,5,14583.3330078125,0,0,0,3364,9.58763458079622
4514460,1,1,55,1,4,2,0,3,2,1,1,0,40,1,45,50,1,,0,0,0,3025,
4514460,1,2,25,3,5,2,1,3,1,1,0,1,48,1,87,12,4,3586.12426757812,0,0,0,625,8.18482730710011
4514461,1,2,29,2,3,2,0,2,2,1,1,0,70,1,41,60,1,,0,0,0,841,
4514461,1,1,36,1,5,2,1,2,2,1,1,0,54,1,41,6,1,,0,0,0,1296,
4514462,1,2,51,3,3,2,0,3,2,1,1,0,45,1,55,4,1,,0,0,0,2601,
4514463,1,1,26,1,6,2,0,3,1,1,0,1,48,1,2,3,5,9722.22265625,0,0,0,676,9.18216953965234
4514465,1,2,57,5,1,1,0,1,2,3,1,0,48,1,55,240,1,,0,0,0,3249,
4514466,1,1,51,1,5,2,1,3,2,1,0,0,48,1,91,6,2,7291.66650390625,0,0,0,2601,8.89448740023628
4514467,1,1,45,1,5,2,1,3,1,1,0,1,70,1,98,3,2,2603.33325195312,0,0,0,2025,7.86454792290562
4514468,1,1,38,1,5,2,1,2,1,1,0,1,48,1,98,60,4,4131.9443359375,0,0,0,1444,8.32650335869126
4514469,1,1,39,1,6,2,1,1,1,1,1,1,72,1,79,5,1,,0,0,0,1521,
4514470,1,1,36,1,6,2,1,3,1,1,0,1,54,1,8,54,5,20308.642578125,0,0,0,1296,9.91880181719192
4514471,1,3,20,3,4,2,1,1,2,3,0,0,50,1,98,9,2,2333.33325195312,0,0,0,400,7.75505310449211
4514471,1,1,47,1,3,2,1,1,2,3,1,0,60,1,98,12,1,,0,0,0,2209,
4514471,1,2,49,2,4,2,0,1,2,3,1,0,24,1,41,3,1,,0,0,0,2401,
4514472,1,1,53,1,6,2,0,4,1,1,0,1,56,1,6,240,5,75000,0,0,0,2809,11.2252433925184
4514472,1,2,27,3,6,2,0,4,1,1,1,1,60,1,16,24,1,,0,0,0,729,
4514474,1,3,22,4,5,2,1,2,1,1,0,1,72,1,39,8,5,2390.74951171875,0,0,0,484,7.77936219899195
4514474,1,2,50,3,4,2,0,2,2,1,1,0,36,1,92,60,1,,0,0,0,2500,
4514475,1,1,46,1,3,2,1,1,1,1,0,1,48,1,95,3,2,3586.12426757812,0,0,0,2116,8.18482730710011
