directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6
4514438,1,3,27,3,6,2,1,3,1,1,0,1,45,1,8,48,5,14000,0,0,0
4514438,1,1,59,1,3,2,1,3,1,1,0,1,48,1,45,336,5,4861.111328125,0,0,0
4514438,1,2,57,2,3,2,0,3,1,1,0,1,40,1,54,12,1,7000,0,0,0
4514439,1,2,61,2,3,2,0,3,2,3,1,0,48,1,55,60,1,5889.28880421509,0,0,0
4514439,1,1,52,1,3,2,1,3,2,3,1,0,48,1,61,78,1,7588.66120043192,0,0,0
4514440,1,1,43,1,5,2,1,3,2,1,0,0,65,1,84,24,2,2871.794921875,0,0,0
4514442,1,1,42,1,6,2,1,2,1,1,0,1,48,1,58,43,5,5833.33349609375,0,0,0
4514444,1,1,50,1,6,2,0,3,2,3,1,0,28,1,44,24,1,10754.75444693,0,0,0
4514446,1,2,26,3,6,2,0,4,2,1,0,0,60,1,45,7,2,11666.6669921875,0,0,0
4514446,1,1,48,1,4,2,0,4,2,1,0,0,60,1,41,7,2,13964.3602801721,0,0,1e+06
4514447,1,1,36,1,5,2,1,3,2,3,1,0,70,1,84,24,2,5318.79317490799,0,0,0
4514448,1,3,22,4,5,2,1,2,1,1,0,1,48,1,58,13,4,3586.12426757812,0,0,0
4514449,1,4,44,3,6,2,1,3,1,1,0,1,50,1,21,13,4,11776.0637641802,0,0,0
4514449,1,5,41,3,6,2,0,3,1,1,0,1,48,1,39,120,5,14583.3330078125,0,0,0
4514450,1,1,73,1,3,2,1,2,2,1,0,0,60,1,45,12,2,2953.76438190809,0,0,0
4514450,1,3,44,3,5,2,0,2,1,1,0,1,48,1,90,144,5,4375,0,0,0
4514450,1,4,21,4,6,2,1,2,1,1,0,1,48,1,55,12,5,5833.33349609375,0,0,0
4514450,1,5,19,4,5,2,1,2,1,2,0,1,48,1,58,11,5,2430.5556640625,0,0,0
4514450,1,7,39,3,6,1,0,2,1,1,0,1,48,1,79,20,3,3586.12426757812,0,0,0
4514451,1,3,19,4,5,2,1,2,1,2,0,1,70,1,58,5,5,1000,0,0,0
4514452,1,1,59,1,6,2,1,4,1,1,0,1,48,1,3,72,2,35826.390625,0,0,0
4514452,1,2,53,2,6,2,0,4,1,1,0,1,48,1,51,72,2,3990.2431640625,0,0,0
4514453,1,2,51,3,6,1,0,4,1,1,0,1,60,1,21,9,5,38888.890625,0,0,0
4514453,1,3,50,3,6,2,1,4,2,1,1,0,60,1,45,10,1,10602.5207352694,0,0,0
4514454,1,3,31,3,6,2,1,4,1,1,0,1,48,1,2,60,2,12152.77734375,0,0,0
4514454,1,2,56,2,6,2,0,4,2,1,0,0,30,1,51,360,3,18343.3865361793,0,0,0
4514454,1,1,58,1,6,2,1,4,2,1,0,0,40,1,42,360,3,20307.0585781578,0,0,0
4514454,1,4,28,3,6,2,0,4,1,1,0,1,36,1,39,1,5,9657.4072265625,0,0,0
4514455,1,1,55,1,5,2,1,3,2,1,1,0,48,1,81,120,1,7234.12504213904,0,0,0
4514455,1,2,50,2,5,1,0,3,2,1,1,0,40,1,41,4,1,6973.25178287289,0,0,0
4514456,1,3,26,3,6,2,1,3,1,1,0,1,48,1,2,24,4,6319.4443359375,0,0,0
4514456,1,2,46,2,4,2,0,3,2,3,1,0,40,1,55,48,1,6540.57452729474,0,0,0
4514456,1,1,58,1,3,2,1,3,2,3,1,0,48,1,93,480,1,9975.31096394415,0,0,0
4514457,1,2,57,3,6,2,0,2,1,2,0,1,40,1,13,240,5,9041.6669921875,0,0,0
4514458,1,1,49,1,6,2,0,3,1,1,0,1,60,1,77,1,2,2333.33325195312,0,0,0
4514459,1,1,58,1,6,2,0,2,1,1,0,1,48,1,39,120,5,14583.3330078125,0,0,0
4514460,1,1,55,1,4,2,0,3,2,1,1,0,40,1,45,50,1,6881.57951306784,0,0,0
4514460,1,2,25,3,5,2,1,3,1,1,0,1,48,1,87,12,4,3586.12426757812,0,0,0
4514461,1,1,36,1,5,2,1,2,2,1,1,0,54,1,41,6,1,2049.23517706805,0,0,0
4514462,1,2,51,3,3,2,0,3,2,1,1,0,45,1,55,4,1,3318.33810669743,0,0,0
4514463,1,1,26,1,6,2,0,3,1,1,0,1,48,1,2,3,5,9722.22265625,0,0,0
4514466,1,1,51,1,5,2,1,3,2,1,0,0,48,1,91,6,2,7291.66650390625,0,0,0
4514467,1,1,45,1,5,2,1,3,1,1,0,1,70,1,98,3,2,2603.33325195312,0,0,0
4514468,1,1,38,1,5,2,1,2,1,1,0,1,48,1,98,60,4,4131.9443359375,0,0,0
4514470,1,1,36,1,6,2,1,3,1,1,0,1,54,1,8,54,5,20308.642578125,0,0,0
4514471,1,3,20,3,4,2,1,1,2,3,0,0,50,1,98,9,2,2333.33325195312,0,0,0
4514472,1,1,53,1,6,2,0,4,1,1,0,1,56,1,6,240,5,75000,0,0,0
4514472,1,2,27,3,6,2,0,4,1,1,1,1,60,1,16,24,1,10358.4933016158,0,0,0
4514474,1,3,22,4,5,2,1,2,1,1,0,1,72,1,39,8,5,2390.74951171875,0,0,0
4514475,1,1,46,1,3,2,1,1,1,1,0,1,48,1,95,3,2,3586.12426757812,0,0,0
4514476,1,2,18,3,5,2,1,1,1,1,0,1,54,1,89,4,2,3187.666015625,0,0,0
4514477,1,2,27,3,5,2,0,2,1,1,0,1,48,1,79,5,5,3586.12426757812,0,0,0
4514477,1,1,52,1,6,2,0,2,1,1,0,1,48,1,59,264,5,4861.111328125,0,0,0
4514478,1,1,64,1,4,2,1,1,2,3,1,0,40,1,45,48,1,1452.40672964323,0,0,0
4514479,1,1,55,1,5,2,0,2,2,2,0,0,48,1,54,84,1,1215.27783203125,0,0,0
4514480,1,1,37,1,6,2,1,2,1,1,0,1,48,1,19,12,5,6319.4443359375,0,0,0
4514480,1,2,46,2,6,2,0,2,1,1,1,1,48,1,54,60,1,4842.39674574301,0,0,650000
4514481,1,1,63,1,3,2,1,1,1,1,0,1,48,1,83,176,5,3888.88891601562,0,0,0
4514483,1,1,49,1,3,2,0,2,2,1,0,0,30,1,54,2,1,4666.66650390625,0,0,0
4514483,1,2,22,3,5,2,1,2,2,3,0,0,48,1,59,0,3,4131.9443359375,0,0,0
4514484,1,3,44,3,6,2,1,2,1,1,0,1,48,1,36,36,5,4375,0,0,0
4514485,1,3,23,3,5,2,1,1,1,1,0,1,48,1,39,7,5,3586.12426757812,0,0,0
4514485,1,2,28,2,3,2,1,1,2,3,0,0,60,1,39,6,5,2722.22216796875,0,0,0
4514488,1,1,41,1,4,2,1,1,1,1,0,1,48,1,58,48,4,3586.12426757812,0,0,0
4514489,1,1,45,1,5,2,1,2,1,1,0,1,48,1,98,360,5,4375,0,0,0
4514489,1,2,44,2,5,2,0,2,1,1,0,1,45,1,32,300,2,4511.111328125,0,0,0
4514490,1,1,40,1,6,2,1,2,1,1,0,1,50,1,21,60,3,5600,0,0,0
4514490,1,2,34,2,6,2,0,2,1,1,0,1,45,1,3,132,5,4666.66650390625,0,0,0
4514491,1,1,26,1,5,2,1,3,1,1,0,1,60,1,33,8,2,2868.8994140625,0,0,0
4514491,1,2,23,2,5,2,0,3,1,1,0,1,40,1,55,12,5,4303.34912109375,0,0,0
4514492,1,1,44,1,3,2,1,3,2,3,0,0,45,1,51,24,3,4148.14794921875,0,0,0
4514494,1,6,20,9,5,2,0,3,2,1,0,0,48,1,45,4,2,4375,0,0,0
4514494,1,1,44,1,3,2,1,3,1,1,0,1,48,1,45,24,2,3586.12426757812,0,0,0
4514494,1,7,20,9,4,2,1,3,2,1,0,0,50,1,45,36,2,4200,0,0,0
4514494,1,5,21,3,5,2,1,3,1,1,0,1,48,1,92,24,4,4861.111328125,0,0,0
4514494,1,3,22,3,5,2,1,3,1,1,0,1,40,1,45,36,2,7726.03763879533,0,0,0
4514496,1,1,24,1,6,2,1,3,1,1,1,1,40,1,5,1,5,15333.4022979939,0,0,0
4514497,1,2,38,2,5,2,0,2,2,1,0,0,28,1,51,48,2,4166.66650390625,0,0,0
4514497,1,1,43,1,5,2,1,2,2,1,0,0,40,1,37,24,4,4666.66650390625,0,0,0
4514498,1,1,32,1,5,2,1,2,1,1,0,1,48,1,45,12,2,4861.111328125,0,0,0
4514499,1,1,44,1,5,1,0,2,2,3,1,0,24,1,45,9,1,5728.78491017583,0,0,0
4514500,1,1,51,1,3,1,0,2,1,1,0,1,40,1,54,9,1,4303.34912109375,0,0,0
4514500,1,2,19,3,5,2,0,2,2,1,0,0,24,1,53,48,2,1555.55554199219,0,0,0
4514501,1,1,38,1,3,2,0,2,1,1,0,1,60,1,53,48,3,3888.88891601562,0,0,0
4514501,1,2,43,2,3,2,1,2,1,1,0,1,54,1,87,3,5,3187.666015625,0,0,0
4514502,1,1,54,1,5,2,1,2,1,1,0,1,40,1,98,36,5,4303.34912109375,0,0,0
4514503,1,1,67,1,4,2,0,2,2,1,1,0,30,1,79,204,1,7158.62886332941,0,8e+05,350000
4514507,1,1,21,1,5,2,1,2,1,1,0,1,48,1,56,2,5,3586.12426757812,0,0,0
4514511,1,1,43,1,5,2,0,2,1,1,0,1,50,1,54,7,1,3442.67944335938,0,0,0
4514511,1,2,23,3,6,2,0,2,1,1,0,1,48,1,33,24,5,5858.52080775886,0,0,0
4514512,1,1,43,1,6,1,0,2,2,1,0,0,72,1,41,144,2,2616.08461956954,0,0,0
4514512,1,3,37,9,3,2,0,2,2,3,0,0,40,1,45,60,2,1750,0,0,0
4514512,1,2,24,3,6,2,0,2,2,3,0,0,30,1,53,3,2,1866.66662597656,0,0,0
4514513,1,2,46,3,5,2,1,2,1,1,1,1,60,1,41,84,1,2447.35041434195,0,0,0
4514514,1,2,43,2,5,1,0,2,1,1,0,1,40,1,55,6,4,4303.34912109375,0,0,0
4514514,1,1,43,1,6,2,1,2,1,1,0,1,48,1,33,99,5,3586.12426757812,0,0,550000
4514515,1,1,33,1,5,2,1,2,2,,0,0,50,1,95,5,3,3733.33325195312,0,0,0
4514516,1,2,32,3,6,2,0,2,1,1,0,1,40,1,6,12,5,16916.666015625,0,0,0
4514517,1,2,33,3,5,2,1,2,1,1,0,1,50,1,53,9,4,4746.73100175413,0,0,0
4514518,1,1,52,1,5,2,1,2,1,1,0,1,48,1,98,168,5,7291.66650390625,0,0,0
4514518,1,3,23,3,6,2,0,2,1,1,0,1,43,1,33,36,4,5426.3564453125,0,0,0
4514519,1,1,35,1,5,2,1,1,1,1,0,1,72,1,98,132,5,2390.74951171875,0,0,380000
4514520,1,1,23,1,5,2,0,1,1,1,0,1,48,1,55,3,5,3586.12426757812,0,0,0
4514521,1,3,21,3,6,2,0,1,2,3,0,0,72,1,59,36,4,2592.59252929688,0,0,0
4514538,1,2,41,2,6,1,0,2,1,1,0,1,48,1,59,36,4,3586.12426757812,0,0,0
